Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
Niger,21874,2025,16819,2023,16819,2023
Jamaica,21411,2025,19423,2023,19423,2023
Nicaragua,21155,2025,17829,2023,17829,2023
Gabon,20391,2025,20516,2023,20056,2023
Kyrgyzstan,19849,2025,13782,2023,13988,2023
Moldova,19462,[n 11]2025,16539,[n 11]2023,16542,[n 11]2023
Botswana,19400,2025,19396,2023,19396,2023
Chad,18792,2025,13149,2023,17643,2023
Madagascar,18708,2025,16032,2023,15870,2023
Palestine,18602,[n 12]2023,17396,[n 12]2023,17396,[n 13]2023
Syria,—,—,8980,2021,29028,2023
Lebanon,—,—,17937,2023,27464,2023
North Korea,—,—,—,—,16447,2023
Afghanistan,—,—,14502,2022,16417,2023
North Macedonia,17885,2025,14761,2023,15764,2023
Yemen,17401,2025,—,—,8758,2023
Laos,16322,2025,15843,2023,15008,2023
Brunei,16007,2025,15128,2023,15128,2023
Mauritius,15495,2025,14397,2023,14397,2023
Congo,15281,2025,15321,2023,14167,2023
Bahamas,15178,2025,14339,2023,14338,2023
Tajikistan,14836,2025,12061,2023,12061,2023
Rwanda,14771,2025,14098,2023,14097,2023
Namibia,14214,2025,12351,2023,12351,2023
Malawi,13959,2025,14084,2023,12627,2023
Somalia,12994,2025,11680,2023,10969,2023
Equatorial Guinea,12684,2025,12117,2023,12117,2023
Mauritania,11470,2025,10453,2023,10652,2023
Kosovo,11274,2025,10438,2023,10467,2023
New Caledonia,—,—,9623,2022,10140,2023
Monaco,—,—,8784,2022,9995,2023
Togo,10023,2025,9171,2023,9278,2023
Bermuda,—,—,7828,2022,8142,2023
Liechtenstein,—,—,7365,2022,7965,2023
Montenegro,8562,2025,7405,2023,7530,2023
Cayman Islands,—,—,6601,2022,7127,2023
Sierra Leone,8386,2025,3810,2023,6412,2023
Barbados,7552,2025,6394,2023,6721,2023
Maldives,7480,2025,6600,2023,6591,2023
